Epoch,Train Loss,Test Loss
1,0.09599754545044134,0.08364518731832504
2,0.06313457710822953,0.07509572058916092
3,0.05079031151631267,0.06556405872106552
4,0.04279276548809884,0.06153153255581856
5,0.032804934833573024,0.0621873177587986
6,0.024071026265795104,0.06593122333288193
7,0.02000566600601019,0.06928195804357529
8,0.01720748834697069,0.06721987575292587
9,0.014814484805464993,0.07274674624204636
10,0.013083362109064684,0.08026949316263199
11,0.011848022032369171,0.08862536400556564
12,0.010640406977616658,0.09082987159490585
13,0.010128700566486227,0.09242480248212814
14,0.00955278205321562,0.0838090032339096
15,0.009097712636987783,0.08084267377853394
16,0.008430492943878744,0.07102601230144501
17,0.008118654072530049,0.06042999029159546
18,0.007762815808918499,0.04848375916481018
19,0.007362057727215351,0.038714535534381866
20,0.007155235836002083,0.03293820098042488
21,0.007033334726839637,0.02283184789121151
22,0.006901554642582919,0.015057253651320934
23,0.006640836371907832,0.009461655281484127
24,0.006426429423173985,0.007909217849373817
25,0.006316121373552303,0.004530723672360182
26,0.006211692019140176,0.004261340945959091
27,0.00594910220159571,0.003585521364584565
28,0.005831022353019067,0.0037365045864135027
29,0.005857194237925016,0.00337839312851429
30,0.005717429648246267,0.0020539499819278717
31,0.005520638310990641,0.005952104926109314
32,0.005423528558049365,0.0018686652183532715
33,0.005375191856411695,0.0023526938166469336
34,0.005186869453626369,0.0019288380863144994
35,0.005151243924065064,0.0018600596813485026
36,0.00514491100897667,0.0015310370363295078
37,0.004944286916929826,0.0018270208965986967
38,0.0049580259577818786,0.0017105680890381336
39,0.004744053741419325,0.00172018154989928
40,0.004779861072406775,0.001580520300194621
41,0.0046824850361342355,0.0016945628449320793
42,0.004628387962868992,0.0024867109023034573
43,0.004546982048311523,0.001798662357032299
44,0.004444131681252242,0.0017990280175581574
45,0.004425675710123584,0.002282320521771908
46,0.004301507703582599,0.0018610035767778754
47,0.00432001601744687,0.0014546239981427789
48,0.0043064797985809655,0.0018859045812860131
49,0.004156453720138266,0.00231863372027874
50,0.004178530317445865,0.0015625781379640102
51,0.004071623252890305,0.0012450858484953642
52,0.004031047064666576,0.0014133267104625702
53,0.004077658296740144,0.001351399114355445
54,0.004000490260935106,0.0021718726493418217
55,0.00389150846745662,0.0012252574088051915
56,0.003893112470273576,0.0010483653750270605
57,0.0038513145720094704,0.0012514654081314802
58,0.0037963419095560654,0.001185744535177946
59,0.0038703966926761585,0.0013869345420971513
60,0.003687947913682109,0.002364151179790497
61,0.003754870098809393,0.0010883193463087082
62,0.003722730949975274,0.001976598985493183
63,0.003627662628360338,0.0013960726791992784
64,0.0035864040048823238,0.0009944532066583633
65,0.0036322792454126936,0.001095650834031403
66,0.0035017642594148725,0.0009685706463642418
67,0.003537066991368356,0.0010040634078904986
68,0.00346311405995995,0.0018103894544765353
69,0.00350307242484028,0.0024686476681381464
70,0.0033995396962871512,0.0010481985518708825
71,0.0033355009207900314,0.0010808235965669155
72,0.00332306288895106,0.0009974705753847957
73,0.003349118500232864,0.0011152189690619707
74,0.00323876900005994,0.0012372536584734917
75,0.003285153627647192,0.0010243448195979
76,0.003236479471523428,0.0016538676572963595
77,0.0032536822195324416,0.0009469488286413252
78,0.003239869138535707,0.0008561113500036299
79,0.0031925315925794787,0.0012666673865169287
80,0.0031546075960754007,0.003045356832444668
81,0.003138808840722709,0.0018393020145595074
82,0.0031209331528540265,0.000986719038337469
83,0.003147683246119438,0.0019027692032977939
84,0.0030772643626355823,0.001166992704384029
85,0.003073589490895851,0.002644789405167103
86,0.003046518393662937,0.00200551631860435
87,0.002951434128826524,0.0009310434688813984
